Voltage,Current,Direction,Timestamp,Nruns
0.0,4.699522e-11,1,1781067555.9781368,2
0.1,2.542171e-07,1,1781067556.1756403,2
0.2,8.135536e-07,1,1781067556.376974,2
0.30000000000000004,1.908465e-06,1,1781067556.5914495,2
0.4,3.765337e-06,1,1781067556.7856638,2
0.5,6.734865e-06,1,1781067556.987864,2
0.6,1.114765e-05,1,1781067557.1846921,2
0.7,1.789809e-05,1,1781067557.38791,2
0.7999999999999999,2.740692e-05,1,1781067557.5854852,2
0.8999999999999999,4.207317e-05,1,1781067557.7798731,2
0.9999999999999999,6.3327e-05,1,1781067557.9907863,2
1.0999999999999999,9.284651e-05,1,1781067558.1819515,2
1.2,0.0001334601,1,1781067558.3947895,2
1.3,0.0001916183,1,1781067558.6060038,2
1.4000000000000001,0.0002778673,1,1781067558.7967112,2
1.5000000000000002,0.0003914593,1,1781067558.9908917,2
1.6000000000000003,0.0005536376,1,1781067559.1877584,2
1.7000000000000004,0.0007686286,1,1781067559.3991363,2
1.8000000000000005,0.001056904,1,1781067559.6143003,2
1.9000000000000006,0.001423994,1,1781067559.8097742,2
2.0000000000000004,0.07163455,1,1781067560.001017,2
2.1000000000000005,0.07739981,1,1781067560.1949527,2
2.2000000000000006,0.08074947,1,1781067560.3868334,2
2.3000000000000007,0.1050005,1,1781067560.5714166,2
2.400000000000001,0.1050001,1,1781067560.7801027,2
2.500000000000001,0.1050003,1,1781067560.9699538,2
2.600000000000001,0.1050004,1,1781067561.1585798,2
2.700000000000001,0.1050004,1,1781067561.3474824,2
2.800000000000001,0.1050004,1,1781067561.529822,2
2.9000000000000012,0.1050003,1,1781067561.7117777,2
3.0000000000000013,0.1050004,1,1781067561.8990324,2
3.1000000000000014,0.1050003,1,1781067562.0889714,2
3.2000000000000015,0.1050003,1,1781067562.2760189,2
