timestamp_unix,timestamp_iso,sample_timestamp,sample_clockbase,block_index,block_name,mode,sweep_variable,sweep_value,point_index_block,point_index_total,set_bias_V,set_amplitude_V,set_frequency_Hz,measured_drive_V,measured_frequency_Hz,model,model_name,param0_name,param1_name,param0,param1,C_F,R_Ohm,demod_R_raw,demod_R,demod_R_gain,Z_real_Ohm,Z_imag_Ohm,Z_abs_Ohm,Z_phase_rad,imps_current_range_A,currin_index,currin_range_A,currin_norm_min,currin_norm_max,currin_est_A,currin_peak_A,iv_autorange_mode
1781065908.0515742,2026-06-10T12:31:48.051,87843167603056,,1,cf_0V,frequency,frequency,0.0,1,1,0.0,0.1,0.0,0.099945068359375,0.0,0,Rp || Cp,Rp,Cp,108.61696845122093,nan,nan,108.61696845122093,8.575658601186176e-06,8.575658601186176e-06,1.0,-108.61696845029894,-0.0004475333132156692,108.61696845122091,-3.1415885333006743,0.0010000000474974513,0,0.0010000000474974513,-0.022247314453125,0.012786865234375,-4.730224834048613e-06,2.2247315509815735e-05,off
1781065908.47909,2026-06-10T12:31:48.479,87843215198576,,1,cf_0V,frequency,frequency,100.0,2,2,0.0,0.1,100.0,0.099945068359375,99.99999996068709,0,Rp || Cp,Rp,Cp,105449.42761636066,5.8834283770539056e-12,5.8834283770539056e-12,105449.42761636066,6.33637637691066e-07,6.33637637691066e-07,1.0,105449.41159301165,-41.105385591541776,105449.41960468586,-0.00038981140708648507,0.0010000000474974513,0,0.0010000000474974513,-0.02496337890625,0.015869140625,-4.54711935660157e-06,2.4963380091946874e-05,off
1781065909.2719436,2026-06-10T12:31:49.271,87843264514416,,1,cf_0V,frequency,frequency,111.67312606580774,3,3,0.0,0.1,111.67312606580774,0.099945068359375,111.6731259998005,0,Rp || Cp,Rp,Cp,109307.6170602694,4.2216815617034657e-10,4.2216815617034657e-10,109307.6170602694,6.516030877298093e-07,6.516030877298093e-07,1.0,109193.13848157869,-3535.5728384734284,109250.362776301,-0.03236776682214725,9.999999747378752e-05,0,9.999999747378752e-05,-0.066162109375,0.064849853515625,-6.561279131123143e-08,6.616210770360453e-06,off
1781065909.6859264,2026-06-10T12:31:49.685,87843288598896,,1,cf_0V,frequency,frequency,124.70887085309788,4,4,0.0,0.1,124.70887085309788,0.099945068359375,124.70887085669347,0,Rp || Cp,Rp,Cp,107673.66909185775,4.021865097127247e-10,4.021865097127247e-10,107673.66909185775,6.584934666555724e-07,6.584934666555724e-07,1.0,107549.83557565333,-3649.4210919736006,107611.73452117853,-0.03391935826105929,9.999999747378752e-05,0,9.999999747378752e-05,-0.06817626953125,0.0682373046875,3.051757735406113e-09,6.823730296368069e-06,off
1781065910.0550387,2026-06-10T12:31:50.055,87843313543536,,1,cf_0V,frequency,frequency,139.2662945630255,5,5,0.0,0.1,139.2662945630255,0.099945068359375,139.26629449656502,0,Rp || Cp,Rp,Cp,108713.17708077657,4.0105375608322553e-10,4.0105375608322553e-10,108713.17708077657,6.457265115703863e-07,6.457265115703863e-07,1.0,108555.17171045933,-4141.533545193579,108634.1456688148,-0.03813292224361483,9.999999747378752e-05,0,9.999999747378752e-05,-0.06817626953125,0.0682373046875,3.051757735406113e-09,6.823730296368069e-06,off
1781065910.4451478,2026-06-10T12:31:50.445,87843336767856,,1,cf_0V,frequency,frequency,155.52302469454662,6,6,0.0,0.1,155.52302469454662,0.099945068359375,155.52302464527656,0,Rp || Cp,Rp,Cp,110104.14716500504,4.0777356222513623e-10,4.0777356222513623e-10,110104.14716500504,6.445521810398326e-07,6.445521810398326e-07,1.0,109892.6214640128,-4821.318677400361,109998.33346929333,-0.04384488019984385,9.999999747378752e-05,0,9.999999747378752e-05,-0.06817626953125,0.0731201171875,2.4719237656789517e-07,7.312011534033047e-06,off
1781065910.8972142,2026-06-10T12:31:50.897,87843359705456,,1,cf_0V,frequency,frequency,173.67742342849834,7,7,0.0,0.1,173.67742342849834,0.099945068359375,173.6774233762617,0,Rp || Cp,Rp,Cp,109510.33122054387,4.104598112946975e-10,4.104598112946975e-10,109510.33122054387,6.529563447765227e-07,6.529563447765227e-07,1.0,109247.48038108098,-5358.711778718263,109378.82684295918,-0.04901184213897538,9.999999747378752e-05,0,9.999999747378752e-05,-0.06817626953125,0.0731201171875,2.4719237656789517e-07,7.312011534033047e-06,off
1781065911.3092122,2026-06-10T12:31:51.309,87843386943856,,1,cf_0V,frequency,frequency,193.95100801315368,8,8,0.0,0.1,193.95100801315368,0.099945068359375,193.9510080006812,0,Rp || Cp,Rp,Cp,109663.68372209684,4.0349616775515233e-10,4.0349616775515233e-10,109663.68372209684,6.458418412908815e-07,6.458418412908815e-07,1.0,109345.74005707628,-5896.25180501409,109504.59649703217,-0.053870840552318056,9.999999747378752e-05,0,9.999999747378752e-05,-0.069549560546875,0.0731201171875,1.7852782752125762e-07,7.312011534033047e-06,off
1781065911.709885,2026-06-10T12:31:51.709,87843411028336,,1,cf_0V,frequency,frequency,216.59115368443398,9,9,0.0,0.1,216.59115368443398,0.099945068359375,216.5911537588272,0,Rp || Cp,Rp,Cp,110726.93009982047,4.091319903512091e-10,4.091319903512091e-10,110726.93009982047,6.469229722772759e-07,6.469229722772759e-07,1.0,110307.6731353367,-6800.533817134335,110517.10280644473,-0.061572666752232164,9.999999747378752e-05,0,9.999999747378752e-05,-0.071563720703125,0.07098388671875,-2.8991698486358075e-08,7.156371889527335e-06,off
1781065912.1514902,2026-06-10T12:31:52.151,87843435112816,,1,cf_0V,frequency,frequency,241.8741121014056,10,10,0.0,0.1,241.8741121014056,0.099945068359375,241.87411220566446,0,Rp || Cp,Rp,Cp,110210.45430610869,4.1327252204216647e-10,4.1327252204216647e-10,110210.45430610869,6.561890159188571e-07,6.561890159188571e-07,1.0,109684.91637364628,-7592.337200975665,109947.37133768637,-0.06910928470761554,9.999999747378752e-05,0,9.999999747378752e-05,-0.0751953125,0.07098388671875,-2.105712837430218e-07,7.519531060040663e-06,off
1781065912.553404,2026-06-10T12:31:52.553,87843462351216,,1,cf_0V,frequency,frequency,270.1083821275558,11,11,0.0,0.1,270.1083821275558,0.099945068359375,270.1083821676775,0,Rp || Cp,Rp,Cp,108252.17913466212,4.161047054794542e-10,4.161047054794542e-10,108252.17913466212,6.635777434790994e-07,6.635777434790994e-07,1.0,107623.222934575,-8227.411095724987,107937.24291533153,-0.0762980301515205,9.999999747378752e-05,0,9.999999747378752e-05,-0.0751953125,0.068603515625,-3.295898354238602e-07,7.519531060040663e-06,off
1781065913.0114143,2026-06-10T12:31:53.011,87843487295856,,1,cf_0V,frequency,frequency,301.6384740876191,12,12,0.0,0.1,301.6384740876191,0.099945068359375,301.6384739851219,0,Rp || Cp,Rp,Cp,107029.32125717364,4.153438945285208e-10,4.153438945285208e-10,107029.32125717364,6.765287238731354e-07,6.765287238731354e-07,1.0,106274.9496765821,-8953.814927996216,106651.46848742808,-0.08405291279756269,9.999999747378752e-05,0,9.999999747378752e-05,-0.0751953125,0.068603515625,-3.295898354238602e-07,7.519531060040663e-06,off
1781065913.466784,2026-06-10T12:31:53.466,87843514534256,,1,cf_0V,frequency,frequency,336.849113430846,13,13,0.0,0.1,336.849113430846,0.099945068359375,336.84911350917446,0,Rp || Cp,Rp,Cp,106872.57208592308,4.167604288175025e-10,4.167604288175025e-10,106872.57208592308,6.690227233920797e-07,6.690227233920797e-07,1.0,105931.20299563627,-9986.008221356069,106400.84646420673,-0.0939910440690907,9.999999747378752e-05,0,9.999999747378752e-05,-0.0751953125,0.068511962890625,-3.341674720269694e-07,7.519531060040663e-06,off
1781065913.870511,2026-06-10T12:31:53.870,87843539478896,,1,cf_0V,frequency,frequency,376.169935093184,14,14,0.0,0.1,376.169935093184,0.099945068359375,376.1699350945946,0,Rp || Cp,Rp,Cp,105903.20571150187,4.159985715625589e-10,4.159985715625589e-10,105903.20571150187,6.747348852373963e-07,6.747348852373963e-07,1.0,104767.26568660775,-10909.139764075522,105333.70443424265,-0.10375346475367123,9.999999747378752e-05,0,9.999999747378752e-05,-0.07061767578125,0.072174072265625,7.781982225285589e-08,7.217407044235458e-06,off
