Voltage,Current,Direction,Timestamp,Nruns
0.0,7.918834e-11,1,1781064738.751861,2
0.1,3.366955e-07,1,1781064738.94886,2
0.2,1.092063e-06,1,1781064739.147386,2
0.30000000000000004,2.675639e-06,1,1781064739.3495247,2
0.4,5.641491e-06,1,1781064739.545548,2
0.5,1.087138e-05,1,1781064739.7335694,2
0.6,1.971618e-05,1,1781064739.927598,2
0.7,3.489742e-05,1,1781064740.1219904,2
0.7999999999999999,5.88823e-05,1,1781064740.3241885,2
0.8999999999999999,9.648524e-05,1,1781064740.5277262,2
0.9999999999999999,0.0001563669,1,1781064740.7335706,2
1.0999999999999999,0.0002473482,1,1781064740.9409337,2
1.2,0.0003859644,1,1781064741.149041,2
1.3,0.0005899308,1,1781064741.375627,2
1.4000000000000001,0.0008847091,1,1781064741.573517,2
1.5000000000000002,0.001301397,1,1781064741.7725363,2
1.6000000000000003,0.001868148,1,1781064741.991224,2
1.7000000000000004,0.002617225,1,1781064742.184138,2
1.8000000000000005,0.003568538,1,1781064742.390073,2
1.9000000000000006,0.004730962,1,1781064742.595973,2
2.0000000000000004,0.006110683,1,1781064742.7957733,2
2.1000000000000005,0.007706204,1,1781064742.9886777,2
2.2000000000000006,0.009640676,1,1781064743.191356,2
2.3000000000000007,0.01159714,1,1781064743.4132361,2
2.400000000000001,0.01373445,1,1781064743.6085205,2
2.500000000000001,0.01600613,1,1781064743.8156326,2
2.600000000000001,0.01841049,1,1781064744.0331237,2
2.700000000000001,0.0209442,1,1781064744.237751,2
2.800000000000001,0.02357502,1,1781064744.45267,2
2.9000000000000012,0.1094046,1,1781064744.644095,2
3.0000000000000013,0.1167312,1,1781064744.8311667,2
3.1000000000000014,0.1213126,1,1781064745.0232673,2
3.2000000000000015,0.1253725,1,1781064745.2110064,2
3.3000000000000016,0.1295751,1,1781064745.3970363,2
3.4000000000000017,0.1346459,1,1781064745.597973,2
3.5000000000000018,0.1393821,1,1781064745.7875597,2
3.600000000000002,0.1433854,1,1781064745.9965014,2
3.700000000000002,0.1596199,1,1781064746.191943,2
