Voltage,Current,Direction,Timestamp,Nruns
0.0,5.120338e-10,1,1781067311.0583534,2
0.1,1.050008e-06,1,1781067311.258368,2
0.2,3.558583e-06,1,1781067311.4537194,2
0.30000000000000004,8.235548e-06,1,1781067311.6583927,2
0.4,1.634342e-05,1,1781067311.8601863,2
0.5,2.877908e-05,1,1781067312.0523107,2
0.6,4.789587e-05,1,1781067312.242048,2
0.7,7.589046e-05,1,1781067312.4379737,2
0.7999999999999999,0.0001152665,1,1781067312.6431968,2
0.8999999999999999,0.0001730441,1,1781067312.8583734,2
0.9999999999999999,0.0002574357,1,1781067313.0528908,2
1.0999999999999999,0.0003810776,1,1781067313.2459,2
1.2,0.000544737,1,1781067313.4339895,2
1.3,0.0007817973,1,1781067313.6270347,2
1.4000000000000001,0.001106044,1,1781067313.8416657,2
1.5000000000000002,0.001553095,1,1781067314.039245,2
1.6000000000000003,0.03593283,1,1781067314.2332883,2
1.7000000000000004,0.06195218,1,1781067314.4482136,2
1.8000000000000005,0.06705943,1,1781067314.6584625,2
1.9000000000000006,0.07173376,1,1781067314.8536942,2
2.0000000000000004,0.07646338,1,1781067315.063267,2
2.1000000000000005,0.08083296,1,1781067315.2480128,2
2.2000000000000006,0.08541694,1,1781067315.438197,2
2.3000000000000007,0.08992349,1,1781067315.6297402,2
2.400000000000001,0.09434752,1,1781067315.8173928,2
2.500000000000001,0.09880039,1,1781067316.0102954,2
2.600000000000001,0.1031554,1,1781067316.1972659,2
2.700000000000001,0.1076088,1,1781067316.3804705,2
2.800000000000001,0.1122639,1,1781067316.5809717,2
2.9000000000000012,0.1168406,1,1781067316.7860885,2
3.0000000000000013,0.1215624,1,1781067316.9819224,2
3.1000000000000014,0.1261563,1,1781067317.174966,2
3.2000000000000015,0.1309026,1,1781067317.3727806,2
