Voltage,Current,Direction,Timestamp,Nruns
0.0,3.30743e-09,1,1781063689.3042684,2
0.1,1.050007e-06,1,1781063689.5061,2
0.2,2.208587e-05,1,1781063689.7047055,2
0.30000000000000004,5.111594e-05,1,1781063689.908819,2
0.4,0.0001007502,1,1781063690.1037395,2
0.5,0.0001808993,1,1781063690.3112671,2
0.6,0.0003040494,1,1781063690.4998841,2
0.7,0.0004894919,1,1781063690.693263,2
0.7999999999999999,0.0007654555,1,1781063690.8896449,2
0.8999999999999999,0.00117818,1,1781063691.0911064,2
0.9999999999999999,0.001740905,1,1781063691.2948177,2
1.0999999999999999,0.002533847,1,1781063691.507847,2
1.2,0.004978544,1,1781063691.7185807,2
1.3,0.005808326,1,1781063691.9090102,2
1.4000000000000001,0.03689973,1,1781063692.102402,2
1.5000000000000002,0.03989492,1,1781063692.3069458,2
1.6000000000000003,0.04298703,1,1781063692.5137954,2
1.7000000000000004,0.04614528,1,1781063692.706776,2
1.8000000000000005,0.05183306,1,1781063692.9019117,2
1.9000000000000006,0.05797752,1,1781063693.0988436,2
2.0000000000000004,0.06267861,1,1781063693.2959044,2
2.1000000000000005,0.06658699,1,1781063693.5069485,2
2.2000000000000006,0.07042044,1,1781063693.7067811,2
2.3000000000000007,0.07440668,1,1781063693.893933,2
2.400000000000001,0.07822418,1,1781063694.0986648,2
2.500000000000001,0.08228526,1,1781063694.3120434,2
2.600000000000001,0.08638743,1,1781063694.4960554,2
2.700000000000001,0.0902853,1,1781063694.6882393,2
2.800000000000001,0.1331487,1,1781063694.8995736,2
2.9000000000000012,0.1396469,1,1781063695.0837052,2
3.0000000000000013,0.1452199,1,1781063695.2757435,2
3.1000000000000014,0.1513183,1,1781063695.4650035,2
3.2000000000000015,0.1573645,1,1781063695.6525385,2
3.3000000000000016,0.1634302,1,1781063695.8496742,2
3.4000000000000017,0.1691295,1,1781063696.05075,2
3.5000000000000018,0.174875,1,1781063696.2378561,2
3.600000000000002,0.1802377,1,1781063696.4278996,2
3.700000000000002,0.1858973,1,1781063696.6398215,2
3.800000000000002,0.1913558,1,1781063696.8312466,2
3.900000000000002,0.1968586,1,1781063697.018785,2
4.000000000000002,0.2027736,1,1781063697.2998283,2
4.100000000000001,0.2088804,1,1781063697.5839763,2
4.200000000000001,0.2145957,1,1781063697.8622942,2
4.300000000000001,0.2204588,1,1781063698.1485264,2
4.4,0.2256616,1,1781063698.4069674,2
4.5,0.230966,1,1781063698.6750622,2
4.6,0.2361494,1,1781063698.9514937,2
4.699999999999999,0.2414226,1,1781063699.223113,2
4.799999999999999,0.2467997,1,1781063699.4890165,2
4.899999999999999,0.2522358,1,1781063699.7530708,2
4.999999999999998,0.257452,1,1781063700.0312517,2
5.099999999999998,0.2627403,1,1781063700.3090496,2
