timestamp_unix,timestamp_iso,sample_timestamp,sample_clockbase,block_index,block_name,mode,sweep_variable,sweep_value,point_index_block,point_index_total,set_bias_V,set_amplitude_V,set_frequency_Hz,measured_drive_V,measured_frequency_Hz,model,model_name,param0_name,param1_name,param0,param1,C_F,R_Ohm,demod_R_raw,demod_R,demod_R_gain,Z_real_Ohm,Z_imag_Ohm,Z_abs_Ohm,Z_phase_rad,imps_current_range_A,currin_index,currin_range_A,currin_norm_min,currin_norm_max,currin_est_A,currin_peak_A,iv_autorange_mode
1781064884.0573559,2026-06-10T12:14:44.057,87781748451696,,2,cv_100kHz,bias,bias,0.0,1,201,0.0,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,104158.13976713663,4.486154665603063e-12,4.486154665603063e-12,104158.13976713663,1.0039267237486387e-06,1.0039267237486387e-06,1.0,95892.45061433771,-28153.457849405226,99939.87829541034,-0.2855695111765314,9.999999974752427e-07,0,9.999999974752427e-07,-1.0,0.999969482421875,-1.525878902397526e-11,9.999999974752427e-07,off
1781064885.0598402,2026-06-10T12:14:45.059,87781807516016,,2,cv_100kHz,bias,bias,0.01,2,202,0.01,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,180219.1637433029,3.892697668760698e-10,3.892697668760698e-10,180219.1637433029,1.7455737268097397e-05,1.7455737268097397e-05,1.0,92.707416386523,-4086.448138534036,4087.4996090496875,-1.5481136661367203,9.999999747378752e-05,0,9.999999747378752e-05,-0.277557373046875,0.276885986328125,-3.3569335089467245e-08,2.77557366035186e-05,off
1781064885.5717673,2026-06-10T12:14:45.571,87781838768496,,2,cv_100kHz,bias,bias,0.02,3,203,0.02,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,179032.96992354633,3.893052649665461e-10,3.893052649665461e-10,179032.96992354633,1.745754872219936e-05,1.745754872219936e-05,1.0,93.30400780092629,-4086.047966494991,4087.113115925417,-1.5479655140987925,9.999999747378752e-05,0,9.999999747378752e-05,-0.277557373046875,0.276885986328125,-3.3569335089467245e-08,2.77557366035186e-05,off
1781064886.0075617,2026-06-10T12:14:46.007,87781868874096,,2,cv_100kHz,bias,bias,0.03,4,204,0.03,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,177379.9870300296,3.8935768998850207e-10,3.8935768998850207e-10,177379.9870300296,1.745919392856652e-05,1.745919392856652e-05,1.0,94.14723317321234,-4085.4585174327012,4086.5431600776683,-1.547755933036592,9.999999747378752e-05,0,9.999999747378752e-05,-0.277557373046875,0.4014892578125,6.196594081742113e-06,4.0148924767002825e-05,off
1781064886.4751084,2026-06-10T12:14:46.475,87781896112496,,2,cv_100kHz,bias,bias,0.04,5,205,0.04,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,175386.6684922243,3.893625139421963e-10,3.893625139421963e-10,175386.6684922243,1.7458369806545905e-05,1.7458369806545905e-05,1.0,95.21372949812151,-4085.35838784193,4086.4677670814135,-1.547494455361589,9.999999747378752e-05,0,9.999999747378752e-05,-0.2772216796875,0.4014892578125,6.213378749286846e-06,4.0148924767002825e-05,off
1781064886.917393,2026-06-10T12:14:46.917,87781920196976,,2,cv_100kHz,bias,bias,0.05,6,206,0.05,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,172665.71728103326,3.8930211069114443e-10,3.8930211069114443e-10,172665.71728103326,1.7456333994118102e-05,1.7456333994118102e-05,1.0,96.74248335178652,-4085.9210921650906,4087.0662191215642,-1.5471237180381812,9.999999747378752e-05,0,9.999999747378752e-05,-0.278472900390625,0.4014892578125,6.150817715711021e-06,4.0148924767002825e-05,off
1781064887.3234317,2026-06-10T12:14:47.323,87781949155696,,2,cv_100kHz,bias,bias,0.06,7,207,0.06,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,169824.31589162242,3.8931861416734137e-10,3.8931861416734137e-10,169824.31589162242,1.745681913286277e-05,1.745681913286277e-05,1.0,98.35092857950546,-4085.6708455488533,4086.8544338305383,-1.5467288133324812,9.999999747378752e-05,0,9.999999747378752e-05,-0.278472900390625,0.281097412109375,1.3122558262246287e-07,2.810974050082571e-05,off
1781064887.8020573,2026-06-10T12:14:47.802,87781976394096,,2,cv_100kHz,bias,bias,0.07,8,208,0.07,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,166306.32781891158,3.8934560107433897e-10,3.8934560107433897e-10,166306.32781891158,1.7457046728025508e-05,1.7457046728025508e-05,1.0,100.41501104709293,-4085.2868406874295,4086.520738371147,-1.5462216029050677,9.999999747378752e-05,0,9.999999747378752e-05,-0.278472900390625,0.2764892578125,-9.918212640069868e-08,2.7847289335580783e-05,off
1781064888.3209274,2026-06-10T12:14:48.320,87782002772336,,2,cv_100kHz,bias,bias,0.08,9,209,0.08,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,162445.61516508632,3.8933171812562884e-10,3.8933171812562884e-10,162445.61516508632,1.7457158595797186e-05,1.7457158595797186e-05,1.0,102.80583423962294,-4085.3136900440995,4086.6070260811034,-1.5456369022790488,9.999999747378752e-05,0,9.999999747378752e-05,-0.278472900390625,0.276214599609375,-1.1291503621002619e-07,2.7847289335580783e-05,off
1781064888.7766323,2026-06-10T12:14:48.776,87782034598256,,2,cv_100kHz,bias,bias,0.09,10,210,0.09,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,158060.55824677393,3.893091407443896e-10,3.893091407443896e-10,158060.55824677393,1.7456382705379262e-05,1.7456382705379262e-05,1.0,105.66645051084677,-4085.4048461487864,4086.771116137965,-1.5449377150974914,9.999999747378752e-05,0,9.999999747378752e-05,-0.27435302734375,0.276214599609375,9.307861092988645e-08,2.762145926316073e-05,off
1781064889.2373533,2026-06-10T12:14:49.237,87782062983536,,2,cv_100kHz,bias,bias,0.1,11,211,0.1,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,153530.90853696797,3.891654924678069e-10,3.891654924678069e-10,153530.90853696797,1.745005099528716e-05,1.745005099528716e-05,1.0,108.85985533063896,-4086.74712014498,4088.1967286464937,-1.5441653373805364,9.999999747378752e-05,0,9.999999747378752e-05,-0.27435302734375,0.447479248046875,8.65631081647944e-06,4.474792367425984e-05,off
1781064889.65888,2026-06-10T12:14:49.658,87782087068016,,2,cv_100kHz,bias,bias,0.11,12,212,0.11,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,149124.27385293107,3.8924628661315716e-10,3.8924628661315716e-10,149124.27385293107,1.7453638732065178e-05,1.7453638732065178e-05,1.0,112.02542262233547,-4085.726386618392,4087.2618954042446,-1.5433844661837597,9.999999747378752e-05,0,9.999999747378752e-05,-0.274383544921875,0.447479248046875,8.654784937611737e-06,4.474792367425984e-05,off
1781064890.1388445,2026-06-10T12:14:50.138,87782112872816,,2,cv_100kHz,bias,bias,0.12,13,213,0.12,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,144375.72687822982,3.8929371232153723e-10,3.8929371232153723e-10,144375.72687822982,1.7456032249724623e-05,1.7456032249724623e-05,1.0,115.67598288067379,-4085.0242566887578,4086.6617318724766,-1.5424868059855008,9.999999747378752e-05,0,9.999999747378752e-05,-0.274383544921875,0.447479248046875,8.654784937611737e-06,4.474792367425984e-05,off
1781064890.5636678,2026-06-10T12:14:50.563,87782141831536,,2,cv_100kHz,bias,bias,0.13,14,214,0.13,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,139810.0745461303,3.892660458918451e-10,3.892660458918451e-10,139810.0745461303,1.7454918684803265e-05,1.7454918684803265e-05,1.0,119.46412228885997,-4085.0968368301,4086.8432613440823,-1.5415607690881836,9.999999747378752e-05,0,9.999999747378752e-05,-0.274383544921875,0.474151611328125,9.988403067984208e-06,4.741515993500478e-05,off
1781064891.032342,2026-06-10T12:14:51.032,87782168496496,,2,cv_100kHz,bias,bias,0.14,15,215,0.14,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,134610.7583123877,3.8921426411297005e-10,3.8921426411297005e-10,134610.7583123877,1.7452637522291114e-05,1.7452637522291114e-05,1.0,124.10303945749818,-4085.364449574042,4087.248983148201,-1.5404281947961325,9.999999747378752e-05,0,9.999999747378752e-05,-0.272308349609375,0.474151611328125,1.0092162830988016e-05,4.741515993500478e-05,off
1781064891.4884255,2026-06-10T12:14:51.488,87782198315376,,2,cv_100kHz,bias,bias,0.15,16,216,0.15,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,129940.53496394199,3.89236211273961e-10,3.89236211273961e-10,129940.53496394199,1.745375390290083e-05,1.745375390290083e-05,1.0,128.54030098520664,-4084.8589774270667,4086.8808980008052,-1.539339206766392,9.999999747378752e-05,0,9.999999747378752e-05,-0.272308349609375,0.4849853515625,1.0633849829022601e-05,4.849853393107395e-05,off
1781064891.9908211,2026-06-10T12:14:51.990,87782228707696,,2,cv_100kHz,bias,bias,0.16,17,217,0.16,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,125720.0904791057,3.8926947883316223e-10,3.8926947883316223e-10,125720.0904791057,1.7455569075877535e-05,1.7455569075877535e-05,1.0,132.82376751089413,-4084.2348017749323,4086.3940178653,-1.5382866945384885,9.999999747378752e-05,0,9.999999747378752e-05,-0.272308349609375,0.4849853515625,1.0633849829022601e-05,4.849853393107395e-05,off
1781064892.4505157,2026-06-10T12:14:52.450,87782254512496,,2,cv_100kHz,bias,bias,0.17,18,218,0.17,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,120663.66001862008,3.8930856586963823e-10,3.8930856586963823e-10,120663.66001862008,1.7457465750137675e-05,1.7457465750137675e-05,1.0,138.34950657307664,-4083.456530796985,4085.7995331241546,-1.5369287919259949,9.999999747378752e-05,0,9.999999747378752e-05,-0.271026611328125,0.4849853515625,1.069793674146613e-05,4.849853393107395e-05,off
1781064892.8718019,2026-06-10T12:14:52.871,87782280317296,,2,cv_100kHz,bias,bias,0.18,19,219,0.18,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,116070.47991879885,3.8942782839547906e-10,3.8942782839547906e-10,116070.47991879885,1.7462631899837682e-05,1.7462631899837682e-05,1.0,143.7230495782828,-4081.831332253272,4084.3608239165897,-1.5356004337513751,9.999999747378752e-05,0,9.999999747378752e-05,-0.2708740234375,0.44500732421875,8.706664819113641e-06,4.450073129769194e-05,off
1781064893.3023474,2026-06-10T12:14:53.302,87782305835376,,2,cv_100kHz,bias,bias,0.19,20,220,0.19,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,111352.58140440045,3.8949478821347936e-10,3.8949478821347936e-10,111352.58140440045,1.746625998198696e-05,1.746625998198696e-05,1.0,149.7449715718999,-4080.694252250289,4083.4408452749276,-1.5341168302698742,9.999999747378752e-05,0,9.999999747378752e-05,-0.2708740234375,0.44500732421875,8.706664819113641e-06,4.450073129769194e-05,off
1781064893.775904,2026-06-10T12:14:53.775,87782334794096,,2,cv_100kHz,bias,bias,0.2,21,221,0.2,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,106761.2018342556,3.8952312928580797e-10,3.8952312928580797e-10,106761.2018342556,1.7467701537020042e-05,1.7467701537020042e-05,1.0,156.14377149928302,-4079.916154385874,4082.902975114256,-1.5325436769250766,9.999999747378752e-05,0,9.999999747378752e-05,-0.2708740234375,0.44500732421875,8.706664819113641e-06,4.450073129769194e-05,off
1781064894.2582598,2026-06-10T12:14:54.258,87782361172336,,2,cv_100kHz,bias,bias,0.21,22,222,0.21,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,102196.27973738646,3.894971792206477e-10,3.894971792206477e-10,102196.27973738646,1.7466018416353056e-05,1.7466018416353056e-05,1.0,163.11834253101554,-4079.642161995145,4082.9018802315704,-1.5308341206305354,9.999999747378752e-05,0,9.999999747378752e-05,-0.2708740234375,0.33685302734375,3.2989501119740083e-06,3.368530188341268e-05,off
1781064894.7582853,2026-06-10T12:14:54.758,87782390131056,,2,cv_100kHz,bias,bias,0.22,23,223,0.22,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,97911.26282962527,3.8921909763712813e-10,3.8921909763712813e-10,97911.26282962527,1.745442668851185e-05,1.745442668851185e-05,1.0,170.47571025190305,-4081.9640009136815,4085.5222521167498,-1.529057423311234,9.999999747378752e-05,0,9.999999747378752e-05,-0.268890380859375,0.49542236328125,1.1326598834959789e-05,4.954223507658284e-05,off
1781064895.2072158,2026-06-10T12:14:55.207,87782418229616,,2,cv_100kHz,bias,bias,0.23,24,224,0.23,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,93872.57368380003,3.891170468667547e-10,3.891170468667547e-10,93872.57368380003,1.744998079447169e-05,1.744998079447169e-05,1.0,177.87598297646167,-4082.405718839863,4086.2790309199713,-1.527252504949337,9.999999747378752e-05,0,9.999999747378752e-05,-0.268890380859375,0.49542236328125,1.1326598834959789e-05,4.954223507658284e-05,off
1781064895.7146153,2026-06-10T12:14:55.714,87782448621936,,2,cv_100kHz,bias,bias,0.24,25,225,0.24,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,90368.21965223536,3.890349690763229e-10,3.890349690763229e-10,90368.21965223536,1.7446831253012423e-05,1.7446831253012423e-05,1.0,184.82389316277082,-4082.651871373643,4086.8332696985026,-1.525556665600471,9.999999747378752e-05,0,9.999999747378752e-05,-0.268890380859375,0.49542236328125,1.1326598834959789e-05,4.954223507658284e-05,off
