Voltage,Current,Direction,Timestamp,Nruns
0.0,3.819625e-12,1,1781065216.7365675,2
0.1,8.060007e-08,1,1781065216.9339578,2
0.2,2.47726e-07,1,1781065217.1427164,2
0.30000000000000004,5.509822e-07,1,1781065217.3422527,2
0.4,1.19465e-06,1,1781065217.5383685,2
0.5,1.990042e-06,1,1781065217.746336,2
0.6,3.571321e-06,1,1781065217.9354763,2
0.7,6.183259e-06,1,1781065218.1269853,2
0.7999999999999999,1.03132e-05,1,1781065218.319219,2
0.8999999999999999,1.69585e-05,1,1781065218.525954,2
0.9999999999999999,2.833831e-05,1,1781065218.736236,2
1.0999999999999999,4.314732e-05,1,1781065218.9446507,2
1.2,6.755106e-05,1,1781065219.1737216,2
1.3,0.0001039231,1,1781065219.3932168,2
1.4000000000000001,0.0001582301,1,1781065219.6200378,2
1.5000000000000002,0.0002386665,1,1781065219.8129146,2
1.6000000000000003,0.0003554919,1,1781065220.0076733,2
1.7000000000000004,0.0005195173,1,1781065220.2062168,2
1.8000000000000005,0.0007470272,1,1781065220.412256,2
1.9000000000000006,0.001049974,1,1781065220.6299663,2
2.0000000000000004,0.001444938,1,1781065220.8349926,2
2.1000000000000005,0.07227363,1,1781065221.0309205,2
2.2000000000000006,0.07795813,1,1781065221.2213326,2
2.3000000000000007,0.08251937,1,1781065221.4373558,2
2.400000000000001,0.0870632,1,1781065221.6347868,2
2.500000000000001,0.09158532,1,1781065221.8237221,2
2.600000000000001,0.0961718,1,1781065222.0274892,2
2.700000000000001,0.1006793,1,1781065222.224465,2
2.800000000000001,0.1050004,1,1781065222.424997,2
2.9000000000000012,0.1050004,1,1781065222.6259923,2
3.0000000000000013,0.1050004,1,1781065222.8103292,2
3.1000000000000014,0.1050005,1,1781065222.990475,2
3.2000000000000015,0.1050004,1,1781065223.1789353,2
3.3000000000000016,0.1050004,1,1781065223.3823574,2
3.4000000000000017,0.1050004,1,1781065223.6152668,2
3.5000000000000018,0.1050004,1,1781065223.798658,2
3.600000000000002,0.1050003,1,1781065223.990805,2
3.700000000000002,0.1050002,1,1781065224.1799018,2
3.800000000000002,0.1050004,1,1781065224.3721201,2
3.900000000000002,0.1050003,1,1781065224.5801978,2
4.000000000000002,0.1050004,1,1781065224.7712162,2
